,StudentID,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,At_Risk_Numeracy
741,228111695,5.257534247,1,1,0,0,0,0,0,2,1,99,95,False
742,863973561,5.852054795,0,1,0,0,0,0,0,4,2,114,114,False
743,814053371,5.515068493,1,1,0,0,0,0,0,1,1,105,105,False
744,644338944,4.942465753,1,0,1,0,0,0,0,4,4,95,95,False
745,287280365,5.019178082,1,1,0,0,0,0,0,2,2,102,102,False
746,387771151,5.380821918,0,1,0,0,0,0,0,4,3,105,105,False
747,803602307,4.857534247,0,0,1,0,0,0,0,1,1,97,97,True
748,334369932,5.304109589,0,1,0,0,0,0,0,4,2,88,88,False
749,603937928,4.863013699,0,0,1,0,0,0,0,3,3,98,98,False
750,827580241,5.339726027,1,1,0,0,0,0,0,3,3,95,95,False
751,761881097,5.315068493,0,1,0,0,0,0,0,2,2,103,103,False
752,722244930,4.95890411,0,1,0,0,0,0,0,3,2,101,101,False
753,433324861,4.871232877,0,1,0,0,0,0,0,1,1,114,114,False
754,896996322,5.57260274,1,1,0,0,0,0,0,2,2,95,95,False
755,519313244,5.364383562,1,1,0,0,0,0,0,4,1,104,104,False
756,906742086,5.389041096,1,0,1,0,0,0,0,2,1,120,109,False
757,516858519,5.364383562,1,1,0,0,0,0,0,2,2,94,94,False
758,851121550,5.619178082,1,1,0,0,0,0,0,2,2,95,95,False
759,724995194,5.197260274,0,1,0,0,0,0,0,2,1,97,97,False
760,581224607,5.356164384,0,1,0,0,0,0,0,1,1,95,95,False
761,134165698,5.652054795,0,1,0,0,0,0,0,2,1,101,101,False
762,426601214,4.715068493,0,1,0,0,0,0,0,4,2,101,101,False
763,524180972,5.079452055,0,1,0,0,0,0,0,3,3,115,115,False
764,535445095,5.739726027,1,1,0,0,0,0,0,3,2,104,98,False
765,517448856,5.405479452,1,0,1,0,0,0,0,2,2,91,91,False
766,100883963,5.235616438,1,0,1,0,0,0,1,3,1,114,114,False
767,767792248,4.701369863,1,0,1,0,0,0,0,1,1,97,97,False
768,271704769,4.956164384,1,1,0,0,0,0,0,2,2,113,105,False
769,199207387,5.117808219,0,0,1,0,0,0,0,2,1,116,116,True
770,815487853,5.761643836,0,0,0,0,0,1,0,1,1,116,116,False
771,898626112,4.969863014,0,1,0,0,0,0,0,3,2,78,78,False
772,985104138,5.493150685,0,0,1,0,0,0,0,3,2,95,95,True
773,836738296,5.443835616,1,0,1,0,0,0,0,6,3,102,102,False
774,953158083,5.293150685,0,0,0,0,0,1,0,2,1,97,97,False
775,242817707,5.202739726,1,0,0,0,0,1,0,2,2,88,88,True
776,463943537,5.15890411,1,0,1,0,0,0,0,3,2,116,116,False
777,675394852,5.150684932,0,0,1,0,0,0,0,1,1,107,107,False
778,179354619,5.421917808,0,1,0,0,0,0,0,2,1,98,98,False
779,350994768,5.58630137,1,0,1,0,0,0,0,1,1,95,95,True
780,368500842,4.928767123,0,1,0,0,0,0,0,2,2,90,90,True
781,289235095,6.079452055,1,0,1,0,0,0,0,2,2,114,114,False
782,247307205,5.298630137,0,1,0,0,0,0,0,2,1,97,97,True
783,275421559,4.868493151,1,0,1,0,0,0,0,2,2,116,104,False
784,603449291,5.347945205,1,1,0,0,0,0,0,1,1,88,88,False
785,223371548,5.073972603,1,0,1,0,0,0,0,2,2,102,102,False
786,311794155,5.331506849,0,1,0,0,0,0,0,2,1,113,113,False
787,137158953,5.810958904,1,0,1,0,0,0,0,3,1,102,97,True
788,179768324,5.260273973,0,1,0,0,0,0,0,1,1,103,103,False
789,386917818,5.02739726,0,0,1,0,0,0,0,2,1,97,97,True
790,528459858,5.284931507,1,1,0,0,0,0,0,2,1,100,100,True
791,389386302,5.668493151,1,1,0,0,0,0,0,2,2,117,117,False
792,989753312,5.221917808,1,1,0,0,0,0,0,3,2,101,101,False
793,113933982,5.493150685,0,1,0,0,0,0,0,2,2,116,116,False
794,421764908,5.602739726,0,1,0,0,0,0,0,3,1,101,101,False
795,302401426,5.219178082,0,1,0,0,0,0,0,3,3,97,97,False
796,576615700,5.608219178,1,0,1,0,0,0,0,2,2,93,93,True
797,550063295,4.512328767,0,1,0,0,0,0,0,3,3,95,95,False
798,683214814,4.991780822,0,1,0,0,0,0,0,3,2,112,112,False
799,161545363,5.405479452,1,1,0,0,0,0,0,3,3,95,105,False
800,697243606,5.624657534,1,1,0,0,0,0,0,1,1,91,89,True
801,798953932,5.515068493,1,1,0,0,0,0,0,3,2,101,101,False
802,347383053,5.22739726,1,1,0,0,0,0,0,1,1,95,95,False
803,810625002,4.821917808,1,0,0,0,0,1,1,2,1,78,78,False
804,793098228,4.865753425,1,0,0,0,0,1,0,2,1,110,110,False
805,821572681,5.42739726,1,0,1,0,0,0,0,4,4,113,113,False
806,261931288,4.936986301,1,1,0,0,0,0,0,2,2,102,102,True
807,986558633,4.682191781,0,1,0,0,0,0,0,1,1,115,115,True
808,455167545,5.865753425,1,1,0,0,0,0,0,1,1,120,120,False
809,395646808,5.317808219,1,0,0,1,0,0,0,2,1,101,101,False
810,217254288,4.942465753,0,1,0,0,0,0,0,2,2,101,101,True
811,342857773,4.539726027,0,0,1,0,0,0,1,4,3,101,96,True
812,988719301,5.257534247,0,1,0,0,0,0,0,2,2,91,89,False
813,265546901,5.457534247,0,1,0,0,0,0,0,1,1,103,103,False
814,258598265,4.947945205,0,1,0,0,0,0,0,2,1,116,116,True
815,238382943,4.863013699,1,1,0,0,0,0,0,2,2,103,103,False
816,686138000,5.882191781,1,1,0,0,0,0,0,2,2,113,113,False
817,149832782,5.038356164,0,1,0,0,0,0,0,1,1,95,95,False
818,975647436,5.043835616,1,0,0,0,0,1,0,4,3,114,114,False
819,697835735,5.389041096,1,1,0,0,0,0,0,2,2,91,89,True
820,245390029,5.2,1,1,0,0,0,0,0,3,3,109,109,False
821,391051870,5.539726027,0,0,1,0,0,0,0,1,1,89,89,True
822,626286952,5.402739726,0,0,1,0,0,0,0,1,1,102,97,True
823,746028870,5.167123288,0,1,0,0,0,0,0,2,1,95,95,False
824,839992986,5.194520548,1,1,0,0,0,0,0,3,2,114,114,False
825,707539188,4.980821918,0,1,0,0,0,0,0,1,1,97,97,False
826,742618352,4.665753425,1,1,0,0,0,0,0,2,1,97,97,False
827,293059158,5.542465753,1,1,0,0,0,0,0,3,1,95,95,False
828,871547679,5.315068493,1,0,1,0,0,0,1,3,3,116,116,False
829,645933008,5.106849315,0,1,0,0,0,0,0,3,3,97,97,False
830,678825875,4.715068493,1,1,0,0,0,0,0,3,2,109,109,True
831,659030555,5.189041096,1,1,0,0,0,0,0,2,1,91,89,False
832,256074622,5.043835616,1,0,1,0,0,0,0,2,2,117,108,False
833,112927530,5.547945205,0,0,1,0,0,0,1,2,2,99,94,False
834,604229709,5.589041096,0,1,0,0,0,0,0,2,2,101,101,False
